Hour,Temperature (°C),Salinity (ppt),Oxygen levels (mg/L),pH levels,Turbidity (NTU),fish_population
1,10.1,30.4,5.6,7.1,0.2,High
2,10.2,30.5,5.7,7.2,0.3,High
3,10.3,30.6,5.8,7.3,0.4,High
4,10.4,30.7,5.9,7.4,0.5,High
5,10.5,30.8,6,7.5,0.6,High
6,10.6,30.9,6.1,7.6,0.7,High
7,10.7,31,6.2,7.7,0.8,High
8,10.8,31.1,6.3,7.8,0.9,High
9,10.9,31.2,6.4,7.9,1,High
10,11,31.3,6.5,8,1.1,High
11,11.1,31.4,6.6,8.1,1.2,High
12,11.2,31.5,6.7,8.2,1.3,High
13,11.3,31.6,6.8,8.3,1.4,High
14,11.4,31.7,6.9,8.4,1.5,High
15,11.5,31.8,7,8.5,1.6,High
16,11.6,31.9,7.1,8.6,1.7,Low
17,11.7,32,7.2,8.7,1.8,Low
18,11.8,32.1,7.3,8.8,1.9,Low
19,11.9,32.2,7.4,8.9,2,Low
20,12,32.3,7.5,9,2.1,Low
21,12.1,32.4,7.6,9.1,2.2,Low
22,12.2,32.5,7.7,9.2,2.3,Low
23,12.3,32.6,7.8,9.3,2.4,Low
24,12.4,32.7,7.9,9.4,2.5,Low
